No,wc_induk,nama_wc_induk,workcenter,nama_workcenter,kode_laravel,plant
169,WC843,CG SPRAYBOTH  D,WC849,Painting METAL SBY Sprayboth D6,2007,2000
170,WC843,CG SPRAYBOTH  D,WC850,Painting METAL SBY Sprayboth D7,2007,2000
171,WC843,CG SPRAYBOTH  D,WC851,Painting METAL SBY Sprayboth D8,2007,2000
172,WC843,CG SPRAYBOTH  D,WC853,Painting CG SBY Sprayboth D9,2007,2000
173,WC760,PACKING CASE GOODS GROUP 1,WC178,CASE Goods Packing LINE 1,2008,2000
174,WC760,PACKING CASE GOODS GROUP 1,WC179,CASE Goods Packing LINE 2,2008,2000
175,WC775,PACKING CASE GOODS GROUP 2,WC180,CASE Goods Packing LINE 3,2008,2000
176,WC775,PACKING CASE GOODS GROUP 2,WC518,CASE Goods Packing LINE 4,2008,2000
177,WC761,PACKING CASE GOODS GROUP 2,WC519,CASE Goods Packing LINE 5,2008,2000
178,WC761,PACKING CASE GOODS GROUP 2,WC520,CASE Goods Packing LINE 6,2008,2000
179,WC762,PACKING PALANG KUDA GROUP 3,WC522,CASE Goods Packing LINE 8,2008,2000
180,WC762,PACKING PALANG KUDA GROUP 3,WC523,CASE Goods Packing LINE 9,2008,2000
181,WC785,WELDING MANUAL ( LASER ),WC801,WELDING MANUAL ( LASER ) 1,2021,2000
182,WC785,WELDING MANUAL ( LASER ),WC802,WELDING MANUAL ( LASER ) 2,2021,2000
183,WC785,WELDING MANUAL ( LASER ),WC787,WELDING MANUAL ( LAS TICK ),2021,2000
184,WC786,GRINDING,WC797,GRINDING 1,2021,2000
185,WC786,GRINDING,WC798,GRINDING 2,2021,2000
186,WC786,GRINDING,WC799,GRINDING 3,2021,2000
187,WC786,GRINDING,WC800,GRINDING 4,2021,2000
188,WC786,GRINDING,WC803,GRINDING 5,2021,2000
189,WC785,WELDING MANUAL ( LASER ),WC801,WELDING MANUAL ( LASER ) 1,2022,2000
190,WC785,WELDING MANUAL ( LASER ),WC802,WELDING MANUAL ( LASER ) 2,2022,2000
191,WC785,WELDING MANUAL ( LASER ),WC787,WELDING MANUAL ( LAS TICK ),2022,2000
192,WC786,GRINDING,WC797,GRINDING 1,2022,2000
193,WC786,GRINDING,WC798,GRINDING 2,2022,2000
194,WC786,GRINDING,WC799,GRINDING 3,2022,2000
195,WC786,GRINDING,WC800,GRINDING 4,2022,2000
196,WC786,GRINDING,WC803,GRINDING 5,2022,2000
