No,Plant,Kode Laravel,Deskripsi,WC Asal,WC Kompatible,WC Kompatible With Condition
110,2000,,SANDER KOMPONEN CASE GOOD B,WC401,WC408,
111,2000,,CASE GOOD  SUB ASSY B ,WC410,WC409,
112,2000,,CASE GOOD  ASSEMBLY BODY B ,WC412,WC411,
113,2000,,CG LIFTER EA GROUP 2,WC764,WC763,
114,2000,,CG LIFTER CB GROUP 1,WC765,WC763,
115,2000,,CG LIFTER CB GROUP 2,WC766,WC763,
116,2000,,PTG SECOND STEP GROUP 2,WC773,WC772,
117,2000,,CG SPRAYBOTH GROUP B,WC771,WC770,
118,2000,,PACKING CASE GOODS GROUP 2,WC775,WC760,
119,2000,,PACKING CASE GOODS GROUP 2,WC761,WC760,
120,2000,,PACKING PALANG KUDA GROUP 3,WC762,WC760,
121,2000,,Machining RND B,WC526,WC199,
122,2000,,Engineering Icon 6 Virdan,WC186,WC181,
123,2000,,Engineering Drafter 2  Aga,WC188,WC181,
124,2000,,Engineering Drafter 3 Cahya,WC189,WC181,
125,2000,,Engineering Drafter 5 Ilham ,WC191,WC181,
126,2000,,Proses Drawing Box,WC194,WC181,
127,2000,,Engineering Drafter 11 Adit,WC197,WC181,
128,2000,,Engineering Drafter 12 Anas,WC198,WC181,
129,2000,,Engineering Drafter 14 Friska ,WC196,WC181,
130,2000,,Proses Master Data,WC195,WC181,
131,2000,,CNC ROUTER (9) HEIAN ZR442PE MP.0342,WC091,WC096,
132,2000,,CNC BACCI MASTER 1866,WC097,WC096,
133,2000,,CNC NC 272P HEIAN MP.0591,WC094,WC091,
134,2000,,CNC NC 272P HEIAN MP.0591,WC094,WC095,
135,2000,,CNC ROUTER HEIAN ER-43 1P HEIAN ER-431P MP.0550,WC095,WC092,
136,2000,,CNC 5AXIS BACCI MP.0519,WC121,WC120,
137,2000,,CNC TWISTER 200 MK.0009,WC127,WC120,
138,2000,,CNC 5AXIS BALESTRINI IDEA,WC128,WC120,
139,2000,,CNC 3 AXIS HEIAN MP.0600,WC126,WC124,
140,2000,,CNC KITAKO VF-05065 MP.0567 ( KITAKO 2 ),WC148,WC147,
141,2000,,CNC ROUTER HEIAN ER-331P-D3 ( CNC 6 ),WC150,WC149,
142,2000,,CNC HEIAN ER 331P,WC153,WC149,
143,2000,,CNC ROUTER HEIAN NC. 362 P ( CNC 19 ),WC158,WC157,
144,2000,,CNC MACHINING CENTRE ARES 36/18 NEW.PX5 MP.0583 ( ARES 1 ),WC161,WC159,
145,2000,,CNC CMS ARES MT.0033 ( ARES 2 ),WC162,WC159,
146,2000,,CGD Cnc ARESH 7819 MT.0036 (ARES 3 ),WC163,WC159,
147,2000,,CNC ARES 5 HYPSOS,WC165,WC159,
148,2000,,CNC CMS HYPSOS 2 (MK.0041),WC166,WC159,
149,2000,,SUB ASSY MACHINING CG B,WC720,WC168,
150,2000,,CNC ROUTER HEIAN ER 431P ( CNC ER431 ),WC149,,
151,2000,,CNC 5 AXIS CMS ARES MK.0002 ( ARES 4 ),WC159,,WC152
152,1001,,Rotary 4 wing KMI,WC027,,WC154
153,1001,,Rotary 4 wing KMI,WC027,,WC028
154,1001,,Rotary 4 wing KMI,WC027,,WC029
155,1000,,KOBAYASHI 1 ( A ) KMI,WC063,,WC030
156,1000,,KOBAYASHI 1 ( A ) KMI,WC063,,WC062
157,1000,,KOBAYASHI 1 ( A ) KMI,WC063,,WC064
158,1000,,KOBAYASHI 1 ( A ) KMI,WC063,,WC065
159,1000,,KOBAYASHI 1 ( A ) KMI,WC063,,WC066
160,1000,,SLICER 1,WC018,,WC067
161,1000,,SLICER 1,WC018,,WC019
162,2000,,CNC 8 HYPSOS 48/18 PX5,WC292,,WC020
163,2000,,CNC 8 HYPSOS 48/18 PX5,WC292,,WC293
164,2000,,CNC Ares 4818,WC096,,WC082
165,2000,,CNC Ares 4818,WC096,,WC097
166,2000,,CNC NC 272P HEIAN MP.0591,WC094,,WC091
167,2000,,MANUAL PANEL,WC155,,WC097
168,2000,,CNC ROUTER HEIAN NC-431PF MP.0610 ( CNC,WC151,,WC145
169,2000,,CNC BALESTRINI IDEA POWER 300 (IDEA 1),WC146,,WC146
170,2000,,CNC ROUTER SHODA & SULLAIR VACUM MP.03,WC160,,WC151
171,2000,,CNC ROUTER SHODA & SULLAIR VACUM MP.03,WC160,,WC156
172,2000,,CNC ROUTER HEIAN HR 642PF ( CNC 10 ),WC164,,WC164
173,2000,,CNC ROUTER KIKUKAWA NCT 246,WC152,,WC160
174,2000,,CNC Bacci Master Flat Mast/02,WC154,,WC149
175,1001,,Laminatery 2 Rotary 8 wing KMI,WC028,,WC159
176,1001,,Laminatery 3 Vinita KMI,WC029,,WC027
177,1001,,Laminatery 5 Rotary MK.0023 ( 4 Wing ),WC030,,WC027
178,1000,,PROSES PANEL SENNERSKOV  KMI,WC062,,WC027
179,1000,,KOBAYASHI 2 ( D )  KMI,WC064,,WC063
180,1000,,KOBAYASHI 3 ( PPI/DRAWER )  KMI,WC065,,WC063
181,1000,,TAIHEI ( C )  KMI,WC066,,WC063
182,1000,,YAMAMOTO ( DOOR/GT )  KMI,WC067,,WC063
183,1000,,SLICER 2,WC019,,WC063
184,2000,,CNC BACCI MASTER FLAT 1865,WC293,,WC018
185,2000,,CNC BACCI MASTER FLAT MAST/02 DOOR&GG,WC082,,WC292
186,2000,,CNC BACCI MASTER 1866,WC097,,WC292
187,2000,,CNC ROUTER (9) HEIAN ZR442PE MP.0342,WC091,,WC096
188,2000,,CNC BACCI MASTER 1866,WC097,,WC096
189,2000,,MANUAL  SOLID,WC145,,WC094
190,2000,,CNC ROUTER BULK BID OF SHODA  ( CNC 14 ),WC156,,WC155
191,2000,,CNC ROUTER BULK BID OF SHODA  ( CNC 14 ),WC156,,WC160
