id,wc_induk,nama_wc_induk,workcenter,nama_workcenter,kode_laravel,plant,created_at,updated_at
113,WC763,"CG LIFTER EA GROUP 1",WC493,"CASE GOOD D LIFTER A1",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
114,WC763,"CG LIFTER EA GROUP 1",WC494,"CASE GOOD D LIFTER A2",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
115,WC763,"CG LIFTER EA GROUP 1",WC495,"CASE GOOD D LIFTER A3",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
116,WC763,"CG LIFTER EA GROUP 1",WC496,"CASE GOOD D LIFTER A4",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
117,WC763,"CG LIFTER EA GROUP 1",WC497,"CASE GOOD D LIFTER A5",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
118,WC763,"CG LIFTER EA GROUP 1",WC498,"CASE GOOD D LIFTER A6",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
119,WC764,"CG LIFTER EA GROUP 2",WC499,"CASE GOOD D LIFTER A7",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
120,WC764,"CG LIFTER EA GROUP 2",WC500,"CASE GOOD D LIFTER A8",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
121,WC764,"CG LIFTER EA GROUP 2",WC501,"CASE GOOD D LIFTER A9",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
122,WC764,"CG LIFTER EA GROUP 2",WC502,"CASE GOOD D LIFTER A10",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
123,WC764,"CG LIFTER EA GROUP 2",WC503,"CASE GOOD D LIFTER A11",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
124,WC764,"CG LIFTER EA GROUP 2",WC504,"CASE GOOD D LIFTER A12",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
125,WC765,"CG LIFTER CB GROUP 1",WC505,"CASE GOOD D LIFTER B1",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
126,WC765,"CG LIFTER CB GROUP 1",WC506,"CASE GOOD D LIFTER B2",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
127,WC765,"CG LIFTER CB GROUP 1",WC507,"CASE GOOD D LIFTER B3",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
128,WC765,"CG LIFTER CB GROUP 1",WC508,"CASE GOOD D LIFTER B4",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
129,WC765,"CG LIFTER CB GROUP 1",WC509,"CASE GOOD D LIFTER B5",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
130,WC765,"CG LIFTER CB GROUP 1",WC510,"CASE GOOD D LIFTER B6",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
131,WC766,"CG LIFTER CB GROUP 2",WC511,"CASE GOOD D LIFTER B7",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
132,WC766,"CG LIFTER CB GROUP 2",WC512,"CASE GOOD D LIFTER B8",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
133,WC766,"CG LIFTER CB GROUP 2",WC513,"CASE GOOD D LIFTER B9",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
134,WC766,"CG LIFTER CB GROUP 2",WC514,"CASE GOOD D LIFTER B10",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
135,WC766,"CG LIFTER CB GROUP 2",WC515,"CASE GOOD D LIFTER B11",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
136,WC766,"CG LIFTER CB GROUP 2",WC516,"CASE GOOD D LIFTER B12",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
137,WC770,"CG SPRAYBOTH  A",WC580,"Painting CG SBY Sprayboth A1",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
138,WC770,"CG SPRAYBOTH  A",WC581,"Painting CG SBY Sprayboth A2",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
139,WC770,"CG SPRAYBOTH  A",WC582,"Painting CG SBY Sprayboth A3",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
140,WC770,"CG SPRAYBOTH  A",WC583,"Painting CG SBY Sprayboth A4",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
141,WC770,"CG SPRAYBOTH  A",WC584,"Painting CG SBY Sprayboth A5",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
142,WC770,"CG SPRAYBOTH  A",WC687,"Painting CG SBY Sprayboth A6",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
143,WC770,"CG SPRAYBOTH  A",WC804,"Painting CG SBY Sprayboth A7",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
144,WC770,"CG SPRAYBOTH  A",WC805,"Painting CG SBY Sprayboth A8",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
145,WC770,"CG SPRAYBOTH  A",WC854,"Painting CG SBY Sprayboth A9",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
146,WC771,"CG SPRAYBOTH  B",WC688,"Painting CG SBY Sprayboth B1",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
147,WC771,"CG SPRAYBOTH  B",WC689,"Painting CG SBY Sprayboth B2",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
148,WC771,"CG SPRAYBOTH  B",WC690,"Painting CG SBY Sprayboth B3",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
149,WC771,"CG SPRAYBOTH  B",WC691,"Painting CG SBY Sprayboth B4",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
150,WC771,"CG SPRAYBOTH  B",WC806,"Painting CG SBY Sprayboth B5",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
151,WC771,"CG SPRAYBOTH  B",WC807,"Painting CG SBY Sprayboth B6",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
152,WC771,"CG SPRAYBOTH  B",WC808,"Painting CG SBY Sprayboth B7",2007,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
