NO,USER,SAP_USER,KODE LARAVEL,MRP,SUB DEVISI,DEVISI,PLANT
77,FIKI,KMI-U124,3010,MA4,PAINTING - BRAVO,PLANT B,3000
78,FIKI,KMI-U124-U116,3010,MA7,PAINTING - BRAVO,PLANT B,3000
79,LIA,KMI-U131,3022,MS1,SAMPLE - CHARLY,PLANT C,3000
80,LIA,KMI-U131,3022,MS3,SAMPLE - CHARLY,PLANT C,3000
81,LIA,KMI-U131,3022,MS4,SAMPLE - CHARLY,PLANT C,3000
82,DHEA,KMI-U172,3009,MA1,MA CASTING - BRAVO,PLANT B,3000
83,DHEA,KMI-U172,3009,MA2,MA MACHINING - BRAVO,PLANT B,3000
84,DHEA,KMI-U172,3009,MA3,MA ASSEMBLY - BRAVO,PLANT B,3000
85,FIKI,KMI-U124,3011,MA5,MA PACKING - BRAVO,PLANT B,3000
86,NILAN,KMI-U143,3021,PG1,MATERIAL PREPARATION - ALPHA,PLANT A,3000
87,NILAN,KMI-U143,3021,PG2,MACHINING - ALPHA,PLANT A,3000
88,NILAN,KMI-U143,3021,PG3,ASSEMBLY - ALPHA,PLANT A,3000
89,AKNIN,KMI-U137,3012,D21,MACHINING - DELTA,PLANT D,3000
90,AKNIN,KMI-U137,3013,D26,EDGE BANDING - DELTA,PLANT D,3000
91,AKNIN,KMI-U137,3014,D27,ASSY BODY - DELTA,PLANT D,3000
92,AKNIN,KMI-U137,3014,D22,ASSEMBLY - DELTA,PLANT D,3000
93,AKNIN,KMI-U137,3015,D23,PAINTING - DELTA,PLANT D,3000
94,AKNIN,KMI-U137,3015,D28,PAINTING - DELTA,PLANT D,3000
95,AKNIN,KMI-U137,3016,D24,PACKING - DELTA,PLANT D,3000
96,DEVELOPER,auto_email,1001,WW1,LAMINATING,WOOD WORKING,1001
97,DEVELOPER,auto_email,1001,WW4,LAMINATING,WOOD WORKING,1001
98,DEVELOPER,auto_email,1003,WW3,MP.WW,WOOD WORKING,1001
99,DEVELOPER,auto_email,1002,WW2,FINGER JOINT,WOOD WORKING,1001
100,DEVELOPER,auto_email,1004,WE1,MP WE,WOOD ENGENEERING,1000
101,DEVELOPER,auto_email,1004,WE2,LMNT WE,WOOD ENGENEERING,1000
102,DEVELOPER,auto_email,1005,WM1,MOULDING,MOULDING,1000
103,DEVELOPER,auto_email,1006,PN 1,MP PANEL,PANELING,1000
104,DEVELOPER,auto_email,1007,PV1,MP VEENER LURUS,PANELING,1000
105,DEVELOPER,auto_email,1007,PV2,MP VEENER LURUS,PANELING,1000
106,DEVELOPER,auto_email,1007,VN1,MP VEENER LURUS,PANELING,1000
107,DEVELOPER,auto_email,1008,VN2,MP VEENER MOTIVE,PANELING,1000
108,DEVELOPER,auto_email,1009,PN2,PANELING,PANELING,1000
109,DEVELOPER,auto_email,1009,PN3,PANELING,PANELING,1000
110,DEVELOPER,auto_email,1010,RW3,SLICER,SLICER,1000
111,DEVELOPER,auto_email,1011,RW1,SAWMIL,SAWMIL,1000
112,DEVELOPER,auto_email,1011,RW1,KLIN DRY,KLIN DRY,1000
113,DEVELOPER,auto_email,1012,GW1,MACHINING,DRAWER BOX,1000
114,DEVELOPER,auto_email,1012,GW2,PAINTING,DRAWER BOX,1000
115,DEVELOPER,auto_email,1012,GW3,ASSY,DRAWER BOX,1000
116,DEVELOPER,auto_email,1013,PJ1,MACHINING,PROJECT,1000
117,DEVELOPER,auto_email,1013,PJ2,ASSY,PROJECT,1000
118,DEVELOPER,auto_email,1013,PJ3,PAINTING,PROJECT,1000
119,DEVELOPER,auto_email,1013,PJ4,PACKING,PROJECT,1000
120,DEVELOPER,auto_email,2015,GT1,MACHINING,DOOR & SPORT GAME SURABAYA,2000
121,DEVELOPER,auto_email,2016,GT2,ASSY,DOOR & SPORT GAME SURABAYA,2000
122,DEVELOPER,auto_email,2025,GT5,PLAYFIELD,BED & DINING,2000
123,DEVELOPER,auto_email,2025,GT6,PLAYFIELD,BED & DINING,2000
124,DEVELOPER,auto_email,2025,GT7,PLAYFIELD,BED & DINING,2000
125,DEVELOPER,auto_email,2003,C11,MACHINING,BED & DINING,2000
126,DEVELOPER,auto_email,2004,C12,ASSY,BED & DINING,2000
127,DEVELOPER,auto_email,2014,UH1,MP UPH,UPH,2000
128,DEVELOPER,auto_email,2014,UH2,UPH,UPH,2000
129,DEVELOPER,auto_email,2009,CH1,MP CHAIR,CHAIR,2000
130,DEVELOPER,auto_email,2010,CH2,MACHINING CHAIR,CHAIR,2000
131,DEVELOPER,auto_email,2011,CH9,ASSY CHAIR,CHAIR,2000
132,DEVELOPER,auto_email,2011,CH7,ASSY CHAIR,CHAIR,2000
133,DEVELOPER,auto_email,2011,CH3,ASSY CHAIR,CHAIR,2000
134,DEVELOPER,auto_email,2012,CH4,PAINTING CHAIR,CHAIR,2000
135,DEVELOPER,auto_email,2013,CH5,PACKING CHAIR,CHAIR,2000
136,DEVELOPER,auto_email,2023,MF4,PTG METAL,CHAIR,2000
137,DEVELOPER,auto_email,2024,MF4,PTG METAL,CHAIR,2000
138,DEVELOPER,auto_email,2019,CP2,MACHINING BOX,BOX PACKAGING,2000
138,DEVELOPER,auto_email,2019,RW6,MACHINING BOX,BOX PACKAGING,2000
139,DEVELOPER,auto_email,2019,CSK,MP BOX,BOX PACKAGING,2000
140,DEVELOPER,auto_email,2019,CP3,ASSY BOX,BOX PACKAGING,2000
141,DEVELOPER,auto_email,2001,GA1,MACHINING CASE,MACHINING CASE,2000
142,DEVELOPER,auto_email,2001,GA2,MACHINING CASE,MACHINING CASE,2000
143,DEVELOPER,auto_email,2005,EB2,EDGE BADING,EDGE BADING,2000
144,DEVELOPER,auto_email,2002,GD1,FINISHING ASSY,ASSEMBLE CASE,2000
145,DEVELOPER,auto_email,2002,GD2,SUB ASSY,ASSEMBLE CASE,2000
146,DEVELOPER,auto_email,2002,GD3,SUB ASSY,ASSEMBLE CASE,2000
147,DEVELOPER,auto_email,2007,GF1,PINDAHAN PUSHPOL,FINISHING,2000
148,DEVELOPER,auto_email,2007,GF1,PINDAHAN PUSHPOL,FINISHING,2000
149,DEVELOPER,auto_email,2008,GF2,PACKING,FINISHING,2000
